SERVICE_TYPE,AGE_GROUP,MEMBER_SEX,YEAR,APPROVED_AMT,Chronic_Condition,Number_of_Visits
ED,Adult,F,2013,4636688.32,Asthma,5091
ED,Adult,F,2014,5129488.47,Asthma,6181
ED,Adult,F,2015,6030988.24,Asthma,7615
ED,Adult,F,2016,6668044.23,Asthma,7994
ED,Adult,F,2017,6104549.94,Asthma,7914
ED,Adult,F,2018,4965974.66,Asthma,5700
ED,Adult,M,2013,1383879.7,Asthma,998
ED,Adult,M,2014,1493040.18,Asthma,1120
ED,Adult,M,2015,1691215.83,Asthma,1319
ED,Adult,M,2016,1892196.98,Asthma,1361
ED,Adult,M,2017,1663291.68,Asthma,1377
ED,Adult,M,2018,1142494.86,Asthma,826
ED,Baby,F,2013,1506181.32,Asthma,1808
ED,Baby,F,2014,1591753.84,Asthma,1834
ED,Baby,F,2015,2179468.78,Asthma,2010
ED,Baby,F,2016,2103045.03,Asthma,1715
ED,Baby,F,2017,2147211.03,Asthma,1704
ED,Baby,F,2018,2139962.34,Asthma,1477
ED,Baby,M,2013,1918688.48,Asthma,3172
ED,Baby,M,2014,1874186.84,Asthma,2870
ED,Baby,M,2015,2518979.01,Asthma,3316
ED,Baby,M,2016,2514023.21,Asthma,2936
ED,Baby,M,2017,2530652.26,Asthma,2693
ED,Baby,M,2018,2485816.2,Asthma,2562
ED,Child,F,2013,1901458.24,Asthma,2887
ED,Child,F,2014,2148463.84,Asthma,3269
ED,Child,F,2015,2673514.23,Asthma,4306
ED,Child,F,2016,2908185.71,Asthma,4698
ED,Child,F,2017,2974904.43,Asthma,4891
ED,Child,F,2018,2880758.78,Asthma,4646
ED,Child,M,2013,2433859.16,Asthma,3910
ED,Child,M,2014,2496700.91,Asthma,4471
ED,Child,M,2015,3116299.37,Asthma,5590
ED,Child,M,2016,3251563.11,Asthma,6220
ED,Child,M,2017,3476490.48,Asthma,6364
ED,Child,M,2018,3166700.21,Asthma,5664
ED,Middle Age,F,2013,2595474.77,Asthma,2796
ED,Middle Age,F,2014,2816801.31,Asthma,3257
ED,Middle Age,F,2015,3233222.24,Asthma,4183
ED,Middle Age,F,2016,3601607.53,Asthma,4927
ED,Middle Age,F,2017,3383271.8,Asthma,4952
ED,Middle Age,F,2018,1687188.82,Asthma,2326
ED,Middle Age,M,2013,1515062.05,Asthma,806
ED,Middle Age,M,2014,1733896.68,Asthma,1127
ED,Middle Age,M,2015,1889629.66,Asthma,1339
ED,Middle Age,M,2016,2130585.12,Asthma,1446
ED,Middle Age,M,2017,2086166.55,Asthma,1517
ED,Middle Age,M,2018,1081621.98,Asthma,653
ED,PreSchool,F,2013,1041299.14,Asthma,1831
ED,PreSchool,F,2014,999873.52,Asthma,1780
ED,PreSchool,F,2015,1327170.08,Asthma,2224
ED,PreSchool,F,2016,1338599.82,Asthma,2227
ED,PreSchool,F,2017,1303292.38,Asthma,2031
ED,PreSchool,F,2018,1315556.77,Asthma,1840
ED,PreSchool,M,2013,1217668.55,Asthma,2730
ED,PreSchool,M,2014,1262085.22,Asthma,2687
ED,PreSchool,M,2015,1565470.56,Asthma,3368
ED,PreSchool,M,2016,1583737.79,Asthma,3137
ED,PreSchool,M,2017,1617136.44,Asthma,3124
ED,PreSchool,M,2018,1577395.32,Asthma,2811
ED,Senior,F,2013,163132.82,Asthma,145
ED,Senior,F,2014,229752.53,Asthma,186
ED,Senior,F,2015,236777.23,Asthma,282
ED,Senior,F,2016,257888.06,Asthma,273
ED,Senior,F,2017,259595.61,Asthma,316
ED,Senior,F,2018,152592.77,Asthma,164
ED,Senior,M,2013,109377.86,Asthma,111
ED,Senior,M,2014,120284.48,Asthma,85
ED,Senior,M,2015,120818.5,Asthma,91
ED,Senior,M,2016,124722,Asthma,140
ED,Senior,M,2017,112139.19,Asthma,96
ED,Senior,M,2018,51383.58,Asthma,34
ED,Teen,F,2013,2135877.05,Asthma,2121
ED,Teen,F,2014,2473588.95,Asthma,2716
ED,Teen,F,2015,3155328.06,Asthma,3473
ED,Teen,F,2016,3381209.07,Asthma,3865
ED,Teen,F,2017,3451621.76,Asthma,4190
ED,Teen,F,2018,3322323.1,Asthma,3830
ED,Teen,M,2013,1684301.71,Asthma,1541
ED,Teen,M,2014,1655936.46,Asthma,1758
ED,Teen,M,2015,2091976.99,Asthma,2369
ED,Teen,M,2016,2250623.48,Asthma,2711
ED,Teen,M,2017,2169843.33,Asthma,2744
ED,Teen,M,2018,2053367.13,Asthma,2518
ED,Very Senior,F,2013,24011.35,Asthma,1
ED,Very Senior,F,2014,5662.22,Asthma,1
ED,Very Senior,F,2015,19915.579999999998,Asthma,6
ED,Very Senior,F,2016,19223.68,Asthma,5
ED,Very Senior,F,2017,23762.88,Asthma,10
ED,Very Senior,F,2018,7034.89,Asthma,4
ED,Very Senior,M,2013,2711.0099999999998,Asthma,1
ED,Very Senior,M,2014,2901.05,Asthma,4
ED,Very Senior,M,2015,9589.12,Asthma,4
ED,Very Senior,M,2016,10243.94,Asthma,3
ED,Very Senior,M,2017,5788.57,Asthma,8
ED,Very Senior,M,2018,9770.33,Asthma,2
ED,Young Adult,F,2013,7916135.01,Asthma,7285
ED,Young Adult,F,2014,8089249.19,Asthma,8411
ED,Young Adult,F,2015,9525834.45,Asthma,9787
ED,Young Adult,F,2016,10470118.09,Asthma,10900
ED,Young Adult,F,2017,9768073.43,Asthma,10614
ED,Young Adult,F,2018,8986275.33,Asthma,8884
ED,Young Adult,M,2013,1184534.76,Asthma,904
ED,Young Adult,M,2014,1272373.27,Asthma,1213
ED,Young Adult,M,2015,1542323.39,Asthma,1614
ED,Young Adult,M,2016,1671619.83,Asthma,1727
ED,Young Adult,M,2017,1659066.17,Asthma,1645
ED,Young Adult,M,2018,1007085.63,Asthma,980
INPT,Adult,F,2013,16461803.94,Asthma,792
INPT,Adult,F,2014,19469987.83,Asthma,972
INPT,Adult,F,2015,22259995.69,Asthma,1133
INPT,Adult,F,2016,21954881.71,Asthma,1080
INPT,Adult,F,2017,19512022.03,Asthma,965
INPT,Adult,F,2018,14907468.05,Asthma,703
INPT,Adult,M,2013,7736072.53,Asthma,197
INPT,Adult,M,2014,7699572.2,Asthma,240
INPT,Adult,M,2015,8757291.6,Asthma,251
INPT,Adult,M,2016,10626546.31,Asthma,271
INPT,Adult,M,2017,10896721.57,Asthma,316
INPT,Adult,M,2018,5015019.67,Asthma,141
INPT,Baby,F,2013,16555105.89,Asthma,242
INPT,Baby,F,2014,15875869.49,Asthma,185
INPT,Baby,F,2015,18129983.05,Asthma,196
INPT,Baby,F,2016,18440029.34,Asthma,176
INPT,Baby,F,2017,14346605.08,Asthma,152
INPT,Baby,F,2018,19612069.49,Asthma,121
INPT,Baby,M,2013,15109820.12,Asthma,421
INPT,Baby,M,2014,16229599.55,Asthma,326
INPT,Baby,M,2015,21306934.89,Asthma,297
INPT,Baby,M,2016,18592003.33,Asthma,269
INPT,Baby,M,2017,22600360.39,Asthma,272
INPT,Baby,M,2018,18659995.79,Asthma,221
INPT,Child,F,2013,2777585.94,Asthma,160
INPT,Child,F,2014,3430252.3,Asthma,184
INPT,Child,F,2015,4701342.93,Asthma,275
INPT,Child,F,2016,5405092.01,Asthma,279
INPT,Child,F,2017,5350544.77,Asthma,276
INPT,Child,F,2018,4547234.91,Asthma,218
INPT,Child,M,2013,4530032.13,Asthma,265
INPT,Child,M,2014,4853282.26,Asthma,305
INPT,Child,M,2015,5445926.74,Asthma,348
INPT,Child,M,2016,5558426.33,Asthma,335
INPT,Child,M,2017,6662601.41,Asthma,372
INPT,Child,M,2018,7182341.58,Asthma,337
INPT,Middle Age,F,2013,21876665.29,Asthma,894
INPT,Middle Age,F,2014,22979314.55,Asthma,1066
INPT,Middle Age,F,2015,25740765.65,Asthma,1203
INPT,Middle Age,F,2016,26454508.75,Asthma,1330
INPT,Middle Age,F,2017,25885326.8,Asthma,1386
INPT,Middle Age,F,2018,13704996.52,Asthma,647
INPT,Middle Age,M,2013,16136945.33,Asthma,311
INPT,Middle Age,M,2014,19394542.27,Asthma,395
INPT,Middle Age,M,2015,20911904.33,Asthma,493
INPT,Middle Age,M,2016,21338834.16,Asthma,492
INPT,Middle Age,M,2017,22530203.92,Asthma,603
INPT,Middle Age,M,2018,11180697.51,Asthma,253
INPT,PreSchool,F,2013,2471195.27,Asthma,111
INPT,PreSchool,F,2014,1108688.08,Asthma,98
INPT,PreSchool,F,2015,1941255.72,Asthma,127
INPT,PreSchool,F,2016,2076944.23,Asthma,92
INPT,PreSchool,F,2017,1149509.95,Asthma,63
INPT,PreSchool,F,2018,1379026.57,Asthma,75
INPT,PreSchool,M,2013,1740063.69,Asthma,179
INPT,PreSchool,M,2014,2008181.51,Asthma,145
INPT,PreSchool,M,2015,1677937.63,Asthma,158
INPT,PreSchool,M,2016,2469335.25,Asthma,157
INPT,PreSchool,M,2017,3100235.48,Asthma,132
INPT,PreSchool,M,2018,1966010.68,Asthma,107
INPT,Senior,F,2013,1888657.81,Asthma,67
INPT,Senior,F,2014,1756026.83,Asthma,69
INPT,Senior,F,2015,2790276.52,Asthma,118
INPT,Senior,F,2016,3168620.09,Asthma,112
INPT,Senior,F,2017,3657024.14,Asthma,188
INPT,Senior,F,2018,1154725.79,Asthma,53
INPT,Senior,M,2013,1533682.95,Asthma,33
INPT,Senior,M,2014,1029932.29,Asthma,27
INPT,Senior,M,2015,1511443.64,Asthma,30
INPT,Senior,M,2016,1646031.11,Asthma,27
INPT,Senior,M,2017,1422874.1199999999,Asthma,41
INPT,Senior,M,2018,572522.59,Asthma,8
INPT,Teen,F,2013,5234208.77,Asthma,193
INPT,Teen,F,2014,4972119.84,Asthma,236
INPT,Teen,F,2015,6480040.43,Asthma,360
INPT,Teen,F,2016,7931001.15,Asthma,380
INPT,Teen,F,2017,8635115.58,Asthma,427
INPT,Teen,F,2018,7534789.5,Asthma,433
INPT,Teen,M,2013,3206437.61,Asthma,98
INPT,Teen,M,2014,3608024.63,Asthma,130
INPT,Teen,M,2015,5318421.99,Asthma,185
INPT,Teen,M,2016,5272278.84,Asthma,211
INPT,Teen,M,2017,4593779.69,Asthma,209
INPT,Teen,M,2018,5607691.3,Asthma,229
INPT,Very Senior,F,2013,125988.39,Asthma,2
INPT,Very Senior,F,2014,75667.93000000001,Asthma,0
INPT,Very Senior,F,2015,277863.04,Asthma,3
INPT,Very Senior,F,2016,411681.88,Asthma,11
INPT,Very Senior,F,2017,327487.16,Asthma,9
INPT,Very Senior,F,2018,80277.66,Asthma,0
INPT,Very Senior,M,2013,115936.43,Asthma,1
INPT,Very Senior,M,2014,182940.5,Asthma,11
INPT,Very Senior,M,2015,174860.23,Asthma,3
INPT,Very Senior,M,2016,272802.12,Asthma,2
INPT,Very Senior,M,2017,163682.2,Asthma,7
INPT,Very Senior,M,2018,74013,Asthma,1
INPT,Young Adult,F,2013,25930020.31,Asthma,1078
INPT,Young Adult,F,2014,28246204.23,Asthma,1153
INPT,Young Adult,F,2015,28716004.29,Asthma,1405
INPT,Young Adult,F,2016,29129208.9,Asthma,1413
INPT,Young Adult,F,2017,30903516.41,Asthma,1416
INPT,Young Adult,F,2018,28713908.5,Asthma,1374
INPT,Young Adult,M,2013,5766973.61,Asthma,141
INPT,Young Adult,M,2014,5795279.86,Asthma,162
INPT,Young Adult,M,2015,7368311.5,Asthma,210
INPT,Young Adult,M,2016,7263932.05,Asthma,251
INPT,Young Adult,M,2017,6945169.06,Asthma,234
INPT,Young Adult,M,2018,4020384.84,Asthma,119
OTPT,Adult,F,2013,26371180.78,Asthma,55725
OTPT,Adult,F,2014,29474834.63000001,Asthma,68164
OTPT,Adult,F,2015,33084137.450000007,Asthma,78644
OTPT,Adult,F,2016,33341816.86,Asthma,91246
OTPT,Adult,F,2017,34144283.809999995,Asthma,95521
OTPT,Adult,F,2018,29378421.610000003,Asthma,72638
OTPT,Adult,M,2013,8484630.57,Asthma,9125
OTPT,Adult,M,2014,8993299.81,Asthma,11472
OTPT,Adult,M,2015,9992523.93,Asthma,14555
OTPT,Adult,M,2016,10262520.75,Asthma,16803
OTPT,Adult,M,2017,11108811.040000001,Asthma,17773
OTPT,Adult,M,2018,8263724.390000001,Asthma,11650
OTPT,Baby,F,2013,14188620.709999999,Asthma,14382
OTPT,Baby,F,2014,14954701.06,Asthma,15247
OTPT,Baby,F,2015,15614265.27,Asthma,16116
OTPT,Baby,F,2016,15867768.37,Asthma,14493
OTPT,Baby,F,2017,15785849.26,Asthma,13817
OTPT,Baby,F,2018,15113281.69,Asthma,12727
OTPT,Baby,M,2013,17827916.11,Asthma,23372
OTPT,Baby,M,2014,17682270.41,Asthma,22554
OTPT,Baby,M,2015,19558792.229999997,Asthma,24919
OTPT,Baby,M,2016,20121305.68,Asthma,22842
OTPT,Baby,M,2017,20183089.97,Asthma,22647
OTPT,Baby,M,2018,19419288.41,Asthma,19515
OTPT,Child,F,2013,15534524.07,Asthma,31932
OTPT,Child,F,2014,17613377.970000003,Asthma,40856
OTPT,Child,F,2015,20585612.88,Asthma,52470
OTPT,Child,F,2016,21212272.050000004,Asthma,62377
OTPT,Child,F,2017,23080517.29,Asthma,69514
OTPT,Child,F,2018,21023541.76,Asthma,66475
OTPT,Child,M,2013,19483157.939999998,Asthma,46517
OTPT,Child,M,2014,21393184.42,Asthma,57878
OTPT,Child,M,2015,24399274.369999997,Asthma,72109
OTPT,Child,M,2016,25694466.340000007,Asthma,86228
OTPT,Child,M,2017,28175184.809999995,Asthma,101090
OTPT,Child,M,2018,23611522,Asthma,88405
OTPT,Middle Age,F,2013,25297355.14,Asthma,58496
OTPT,Middle Age,F,2014,27978943.900000006,Asthma,75484
OTPT,Middle Age,F,2015,32227171.230000004,Asthma,91960
OTPT,Middle Age,F,2016,32072051.019999996,Asthma,110717
OTPT,Middle Age,F,2017,34602019.36,Asthma,121849
OTPT,Middle Age,F,2018,18202307.930000003,Asthma,63630
OTPT,Middle Age,M,2013,16123964.69,Asthma,13971
OTPT,Middle Age,M,2014,18037288.69,Asthma,21311
OTPT,Middle Age,M,2015,20432834.71,Asthma,25379
OTPT,Middle Age,M,2016,20496780.169999998,Asthma,29083
OTPT,Middle Age,M,2017,22381313.150000002,Asthma,36050
OTPT,Middle Age,M,2018,12257608.47,Asthma,17361
OTPT,PreSchool,F,2013,9443598.54,Asthma,16983
OTPT,PreSchool,F,2014,9116648.02,Asthma,18589
OTPT,PreSchool,F,2015,9352372.799999999,Asthma,21818
OTPT,PreSchool,F,2016,9292851.1,Asthma,22636
OTPT,PreSchool,F,2017,9506786.88,Asthma,22715
OTPT,PreSchool,F,2018,8431096.72,Asthma,20086
OTPT,PreSchool,M,2013,11432647.42,Asthma,23614
OTPT,PreSchool,M,2014,11478065.06,Asthma,27657
OTPT,PreSchool,M,2015,12126184.17,Asthma,32046
OTPT,PreSchool,M,2016,12519989.5,Asthma,35646
OTPT,PreSchool,M,2017,12949196.73,Asthma,35877
OTPT,PreSchool,M,2018,11620216.530000001,Asthma,31865
OTPT,Senior,F,2013,2261000.96,Asthma,4218
OTPT,Senior,F,2014,2662182.01,Asthma,6189
OTPT,Senior,F,2015,3016955.72,Asthma,7713
OTPT,Senior,F,2016,3112536.95,Asthma,8991
OTPT,Senior,F,2017,3432754.12,Asthma,11992
OTPT,Senior,F,2018,1539438.19,Asthma,5228
OTPT,Senior,M,2013,949995.81,Asthma,1302
OTPT,Senior,M,2014,1097095.4,Asthma,1323
OTPT,Senior,M,2015,1150833.79,Asthma,1862
OTPT,Senior,M,2016,1276267.36,Asthma,2359
OTPT,Senior,M,2017,1215185.56,Asthma,2249
OTPT,Senior,M,2018,636651.66,Asthma,866
OTPT,Teen,F,2013,12789215.049999999,Asthma,20576
OTPT,Teen,F,2014,13597983,Asthma,27441
OTPT,Teen,F,2015,16410573.6,Asthma,36133
OTPT,Teen,F,2016,16279688.74,Asthma,42583
OTPT,Teen,F,2017,17356675.02,Asthma,46772
OTPT,Teen,F,2018,16634829.41,Asthma,45676
OTPT,Teen,M,2013,8815627.79,Asthma,14034
OTPT,Teen,M,2014,9786065.12,Asthma,18710
OTPT,Teen,M,2015,11627542.87,Asthma,24123
OTPT,Teen,M,2016,12746829.76,Asthma,29757
OTPT,Teen,M,2017,13475822.32,Asthma,34379
OTPT,Teen,M,2018,11684693.23,Asthma,31361
OTPT,Very Senior,F,2013,101929.39,Asthma,58
OTPT,Very Senior,F,2014,87474.22,Asthma,27
OTPT,Very Senior,F,2015,181963.4,Asthma,118
OTPT,Very Senior,F,2016,267827.55,Asthma,521
OTPT,Very Senior,F,2017,274008.79,Asthma,520
OTPT,Very Senior,F,2018,105769.26,Asthma,63
OTPT,Very Senior,M,2013,67670.32,Asthma,23
OTPT,Very Senior,M,2014,93546.64,Asthma,334
OTPT,Very Senior,M,2015,104413.48,Asthma,261
OTPT,Very Senior,M,2016,148452.52,Asthma,220
OTPT,Very Senior,M,2017,158120.22,Asthma,342
OTPT,Very Senior,M,2018,43727.27,Asthma,109
OTPT,Young Adult,F,2013,41820660.12000001,Asthma,50417
OTPT,Young Adult,F,2014,41813150.64000001,Asthma,59860
OTPT,Young Adult,F,2015,43950173.06000001,Asthma,68068
OTPT,Young Adult,F,2016,42633917.46000001,Asthma,76667
OTPT,Young Adult,F,2017,42571128.2,Asthma,81344
OTPT,Young Adult,F,2018,41223288.32,Asthma,72913
OTPT,Young Adult,M,2013,5450954.71,Asthma,5980
OTPT,Young Adult,M,2014,6185201.93,Asthma,7579
OTPT,Young Adult,M,2015,7264195.72,Asthma,10609
OTPT,Young Adult,M,2016,6906436.54,Asthma,12733
OTPT,Young Adult,M,2017,7185381.24,Asthma,13802
OTPT,Young Adult,M,2018,4910064.38,Asthma,7489
