"","ED_DISCHARGE_DX_DESC","CODE_1","CODE_P","ED_NOT_NEEDED_PROP","PREVENTABILITY","n"
"1","","200.6","200",NA,NA,1
"2","","233.3","233",NA,NA,1
"3","","255.4","255",NA,NA,1
"4","","291.8","291",NA,NA,4
"5","","296.8","296",NA,NA,2
"6","","299.","299",NA,NA,2
"7","","299.0","299",NA,NA,3
"8","","323.0","323",NA,NA,1
"9","","348.3","348",NA,NA,1
"10","","373.0","373",NA,NA,1
"11","","379.6","379",NA,NA,3
"12","","389.2","389",NA,NA,1
"13","","453.8","453",NA,NA,1
"14","","478.1","478",NA,NA,1
"15","","488.","488",NA,NA,1
"16","","521.0","521",NA,NA,1
"17","","567.2","567",NA,NA,1
"18","","599.7","599",NA,NA,2
"19","","600.2","600",NA,NA,1
"20","","646.8","646",NA,NA,1
"21","","649.3","649",NA,NA,1
"22","","695.1","695",NA,NA,1
"23","","750.","750",NA,NA,1
"24","","752.8","752",NA,NA,2
"25","","779.3","779",NA,NA,3
"26","","780.6","780",NA,NA,2
"27","","780.9","780",NA,NA,1
"28","","784.5","784",NA,NA,2
"29","","969.7","969",NA,NA,1
"30","","995.2","995",NA,NA,2
"31","","A04.71","A04",NA,NA,14
"32","","A04.72","A04",NA,NA,118
"33","","C49.A0","C49",NA,NA,5
"34","","C49.A2","C49",NA,NA,4
"35","","C49.A4","C49",NA,NA,2
"36","","C96.20","C96",NA,NA,3
"37","","C96.21","C96",NA,NA,1
"38","","D47.01","D47",NA,NA,11
"39","","D47.09","D47",NA,NA,6
"40","","D49.511","D49",NA,NA,16
"41","","D49.512","D49",NA,NA,1
"42","","D49.519","D49",NA,NA,7
"43","","D49.59","D49",NA,NA,22
"44","","D89.40","D89",NA,NA,2
"45","","E08.3212","E08",NA,NA,2
"46","","E08.3291","E08",NA,NA,1
"47","","E08.3293","E08",NA,NA,3
"48","","E08.3393","E08",NA,NA,1
"49","","E08.3523","E08",NA,NA,2
"50","","E10.3211","E10",NA,NA,3
"51","","E10.3213","E10",NA,NA,3
"52","","E10.3219","E10",NA,NA,10
"53","","E10.3291","E10",NA,NA,8
"54","","E10.3293","E10",NA,NA,27
"55","","E10.3299","E10",NA,NA,7
"56","","E10.3312","E10",NA,NA,4
"57","","E10.3313","E10",NA,NA,1
"58","","E10.3391","E10",NA,NA,1
"59","","E10.3393","E10",NA,NA,7
"60","","E10.3399","E10",NA,NA,1
"61","","E10.3411","E10",NA,NA,10
"62","","E10.3412","E10",NA,NA,6
"63","","E10.3413","E10",NA,NA,1
"64","","E10.3491","E10",NA,NA,3
"65","","E10.3493","E10",NA,NA,5
"66","","E10.3499","E10",NA,NA,1
"67","","E10.3511","E10",NA,NA,8
"68","","E10.3512","E10",NA,NA,3
"69","","E10.3513","E10",NA,NA,23
"70","","E10.3519","E10",NA,NA,7
"71","","E10.3521","E10",NA,NA,3
"72","","E10.3522","E10",NA,NA,4
"73","","E10.3523","E10",NA,NA,11
"74","","E10.3531","E10",NA,NA,2
"75","","E10.3532","E10",NA,NA,3
"76","","E10.3541","E10",NA,NA,1
"77","","E10.3543","E10",NA,NA,1
"78","","E10.3551","E10",NA,NA,2
"79","","E10.3591","E10",NA,NA,7
"80","","E10.3592","E10",NA,NA,8
"81","","E10.3593","E10",NA,NA,27
"82","","E10.3599","E10",NA,NA,8
"83","","E11.10","E11",NA,NA,158
"84","","E11.11","E11",NA,NA,1
"85","","E11.3211","E11",NA,NA,15
"86","","E11.3212","E11",NA,NA,26
"87","","E11.3213","E11",NA,NA,21
"88","","E11.3291","E11",NA,NA,16
"89","","E11.3292","E11",NA,NA,9
"90","","E11.3293","E11",NA,NA,142
"91","","E11.3299","E11",NA,NA,18
"92","","E11.3311","E11",NA,NA,36
"93","","E11.3312","E11",NA,NA,6
"94","","E11.3313","E11",NA,NA,73
"95","","E11.3319","E11",NA,NA,10
"96","","E11.3391","E11",NA,NA,9
"97","","E11.3392","E11",NA,NA,6
"98","","E11.3393","E11",NA,NA,53
"99","","E11.3399","E11",NA,NA,4
"100","","E11.3411","E11",NA,NA,27
"101","","E11.3412","E11",NA,NA,17
"102","","E11.3413","E11",NA,NA,20
"103","","E11.3419","E11",NA,NA,5
"104","","E11.3491","E11",NA,NA,6
"105","","E11.3492","E11",NA,NA,3
"106","","E11.3493","E11",NA,NA,17
"107","","E11.3511","E11",NA,NA,76
"108","","E11.3512","E11",NA,NA,42
"109","","E11.3513","E11",NA,NA,148
"110","","E11.3519","E11",NA,NA,6
"111","","E11.3521","E11",NA,NA,5
"112","","E11.3522","E11",NA,NA,7
"113","","E11.3523","E11",NA,NA,2
"114","","E11.3531","E11",NA,NA,4
"115","","E11.3532","E11",NA,NA,4
"116","","E11.3533","E11",NA,NA,4
"117","","E11.3552","E11",NA,NA,2
"118","","E11.3553","E11",NA,NA,15
"119","","E11.3591","E11",NA,NA,32
"120","","E11.3592","E11",NA,NA,21
"121","","E11.3593","E11",NA,NA,72
